basin,50,100,150,200,250,300,350,400,450,500,550,600
1139000,0.658349812,0.656810969,0.652138531,0.631703973,0.64838022,0.632805347,0.642775476,0.63475579,0.643517822,0.648468286,0.649249017,0.648736089
1350080,0.514516056,0.523121953,0.51786232,0.474135935,0.51099205,0.507007211,0.514426887,0.492264807,0.503968656,0.52036348,0.519588888,0.516779721
3140000,0.401499152,0.390251219,0.396658838,0.377856612,0.377704144,0.381091356,0.372177243,0.358205616,0.388721228,0.388624966,0.393814743,0.356470525
4105700,0.835040286,0.841712803,0.799120575,0.808301508,0.78688769,0.787041113,0.807473704,0.778463095,0.785540402,0.729304403,0.695700556,0.753016308
4196800,0.712567627,0.69258365,0.695686936,0.69783774,0.690434068,0.692333996,0.664164394,0.676728904,0.692696512,0.693789154,0.680157959,0.690470904
8109700,0.496110082,0.526135236,0.542081445,0.53867659,0.556210637,0.551332891,0.468906999,0.524683923,0.555193037,0.540268123,0.514374852,0.535825461
8175000,0.541380733,0.542880237,0.441828072,0.529357523,0.486101389,0.446812332,0.480811298,0.503793716,0.474210441,0.500662059,0.506079614,0.504935652
9210500,0.963112704,0.967238009,0.95648158,0.95070415,0.959134672,0.955249324,0.953604203,0.951741744,0.966363125,0.947845098,0.961804405,0.958669182
10336645,0.830432162,0.845882744,0.817587778,0.847622976,0.813829169,0.841836706,0.84298268,0.842467636,0.844694808,0.851012588,0.835044846,0.765032813
12010000,0.659973234,0.610748589,0.604126781,0.595868021,0.596271664,0.565684199,0.606826335,0.605309248,0.619791687,0.603598833,0.61393556,0.600790083
,0.661,0.660,0.642,0.645,0.643,0.636,0.635,0.637,0.648,0.642,0.637,0.633
